,trial,start_time,end_time,key,reaction_time
52,boek_audio,93.57343049999326,94.45135600000503,m,0.87792550001177
53,baby_audio,94.97147140000015,95.69252450000204,m,0.7210531000018818
54,recht_audio,96.20374690000608,97.48954569999478,y,1.2857987999886973
55,hard_audio,98.00247399999353,99.18689009999798,m,1.184416100004455
56,reden_audio,99.70129260000249,100.51628460000211,m,0.81499199999962
57,heren_audio,101.03211329999613,102.33678749999672,y,1.3046742000005906
58,redden_audio,102.84675589999824,103.77113069999905,m,0.9243748000008054
59,vallen_audio,104.29500949999783,105.07029849999526,m,0.7752889999974286
60,los_audio,105.59987109999929,106.91268209999544,y,1.3128109999961453
61,gaf_audio,107.43341620000137,108.80928659999336,m,1.3758703999919817
62,begin_audio,109.32217860000674,110.18600299999525,m,0.8638243999885162
63,bezig_audio,110.70444139999745,111.67417500000738,m,0.9697336000099313
64,zoek_audio,112.18553410000459,113.04334980000567,m,0.8578157000010833
65,wakker_audio,113.55023389999405,114.35581459999958,m,0.8055807000055211
66,plaats_audio,114.86641879999661,115.96377129999746,m,1.0973525000008522
67,soort_audio,116.48117379999894,118.58429040000192,m,2.103116600002977
68,sta_audio,119.09625400000368,120.71513490000507,y,1.6188809000013862
69,juist_audio,121.22552350000478,122.14210670000466,m,0.9165831999998773
70,ogen_audio,122.65726760000689,124.05420250000316,m,1.3969348999962676
71,lekker_audio,124.57146219999413,125.50145060000068,m,0.9299884000065504
72,gemaakt_audio,126.02225920000637,127.21988710000005,m,1.1976278999936767
73,help_audio,127.7605620999966,128.6366488000058,m,0.8760867000091821
74,vroeg_audio,129.14984349999577,130.06181970000034,m,0.9119762000045739
75,wachten_audio,130.58236990000296,131.39853679999942,m,0.8161668999964604
76,hen_audio,131.91269300000567,133.38183549999667,m,1.469142499990994
77,open_audio,133.89714990000357,134.88530550000723,m,0.9881556000036653
78,uur_audio,135.40949530000216,136.16624970000703,m,0.7567544000048656
79,eigen_audio,136.67308259999845,137.6387958999985,m,0.9657133000000613
80,krijg_audio,138.15522099999362,139.3510871000035,m,1.19586610000988
81,morgen_audio,139.8693413000001,140.82282739999937,m,0.9534860999992816
82,vraag_audio,141.36060869999346,142.28797770000529,m,0.9273690000118222
83,auto_audio,142.80124169999908,143.65968650000286,m,0.858444800003781
84,zag_audio,144.19119339999452,145.2564057999989,m,1.065212400004384
85,idee_audio,145.76300390000688,146.53854009999486,m,0.7755361999879824
86,ging_audio,147.06347310000274,147.89020690000325,m,0.8267338000005111
87,werd_audio,148.41063179999765,149.9021916000056,y,1.4915598000079626
88,geweest_audio,150.44596009999805,151.4407099999953,m,0.9947498999972595
