,trial,start_time,end_time,key,reaction_time
78,wakker_audio,117.28724680001324,118.14651299999969,m,0.8592661999864504
79,tombel_audio,118.66748310001276,119.53703280001355,y,0.869549700000789
80,pirrel_audio,120.04883520001022,120.76983240000845,y,0.7209971999982372
81,dacht_audio,121.28125930001261,122.06685540000035,y,0.7855960999877425
82,gietsen_audio,122.57903150000493,123.73807570000645,y,1.1590442000015173
83,soort_audio,124.26043680000294,125.44947289999982,y,1.1890360999968834
84,geweest_audio,125.95818300000974,126.90788520000933,m,0.9497021999995923
85,gisten_audio,127.42283820000011,128.39580399999977,m,0.9729657999996562
86,hen_audio,128.9050009000057,130.33035190000373,m,1.4253509999980452
87,vebras_audio,130.85272340000665,131.92026020000048,y,1.0675367999938317
88,gefruld_audio,132.43512600001122,133.6312586000131,y,1.1961326000018744
